Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,Population
Morocco,75.7,78.0,73.5,67.3,25869035,86,8623.266,318667569330.804,36954394.0
Mozambique,64.0,66.9,60.7,41.6,14810679,45,1457.2354,46205665954.9978,31707757.0
Myanmar,67.3,70.6,64.2,34.1,18722491,84,5178.4473,276462071533.49066,53387059.0
Namibia,67.7,71.6,63.6,54.4,1683548,4,9709.1,27287512931.9,2810509.0
Nepal,70.9,72.4,69.3,24.5,7265589,207,4546.2295,133999946302.00851,29474963.0
Netherlands,82.4,84.0,80.9,88.9,16318658,544,69323.33,1229138619708.27,17730519.0
New Zealand,82.4,84.0,80.8,83.6,4388310,20,48194.043,246158014564.692,5107644.0
Nicaragua,75.3,77.7,72.6,58.1,4071293,58,7086.6226,47088396150.748795,6644688.0
Niger,61.7,62.7,60.7,18.2,5067678,22,1585.5992,38850510158.32,24502100.0
Nigeria,54.8,55.1,54.5,54.9,130312056,261,5491.7,1200097010832.9,218529237.0
North Macedonia,77.7,79.8,75.4,69.4,1258951,72,22371.496,41410959014.264,1851059.0
Norway,83.6,85.1,82.1,85.9,4830373,15,89209.14,482445705394.2,5408030.0
Oman,80.5,82.2,78.9,90.8,4989686,18,38719.457,174252192454.746,4500378.0
Pakistan,67.9,70.5,65.6,34.4,87777053,331,5367.2734,1285342600405.037,239477758.0
Panama,80.0,82.8,77.1,70.7,3229574,61,30932.764,134413995375.04,4345360.0
Papua New Guinea,66.4,69.3,63.9,12.6,1351201,24,3976.9038,39820137236.9262,10012849.0
Paraguay,74.1,77.2,71.1,68.0,4770669,18,15406.167,102976823029.70999,6684130.0
Peru,78.1,80.5,75.8,80.6,27880400,27,15282.273,506696674835.685,33155845.0
Philippines,70.1,73.1,67.1,49.3,57606092,392,8857.79,1001824074157.7401,113100906.0
Poland,79.0,82.6,75.3,59.2,22598335,125,41774.582,1589115626474.664,38040252.0
Portugal,82.7,85.4,79.9,66.5,6926293,114,38862.09,403812324153.54,10390906.0
Puerto Rico,82.1,85.5,78.5,0.0,0,365,40559.7,131947112532.59999,3253158.0
Qatar,82.7,83.6,82.0,96.6,3010901,268,116832.57,328876557763.23004,2814939.0
Romania,76.2,79.8,72.7,55.2,10431178,82,38071.176,732798373833.24,19248115.0
Russia,73.5,79.3,67.7,75.0,108062384,9,38938.496,5678639058460.032,145836117.0
Rwanda,68.2,70.4,65.9,18.3,2659944,591,2731.09,36474291403.26,13355214.0
Saint Lucia,73.0,76.6,69.6,19.9,35853,295,19101.166,3409348018.1740003,178489.0
Samoa,71.9,74.0,70.1,16.3,35747,77,6214.017,1328215063.665,213745.0
Sao Tome & Principe,70.1,74.1,66.6,78.2,187994,250,5732.6943,1272233915.2218,221926.0
Saudi Arabia,79.2,81.5,77.6,92.1,31842626,16,55768.234,1747125080586.88,31328320.0
Senegal,69.2,71.3,67.2,52.3,9903731,98,4173.6772,71874147972.9812,17220821.0
Serbia,77.1,80.3,73.9,73.6,4923756,76,23668.523,161783490754.87802,6835386.0
Seychelles,73.1,76.8,70.2,43.8,58120,289,29979.828,3686049832.428,122951.0
Sierra Leone,62.1,63.9,60.4,45.5,4017056,122,2848.706,23058996001.006,8094551.0
Singapore,84.0,86.5,81.5,0.0,0,8387,131864.1,731349945984.0,5546240.0
Slovakia,78.7,81.8,75.4,54.0,2955290,114,38437.492,209204198958.304,5442712.0
