Country,LifeExpectancy Both,LifeExpectancy Female,LifeExpectancy Male,UrbanPopulation Percentage,UrbanPopulation Absolute,PopulationDensity,ScrapeTimestamp
Paraguay,74.1,77.2,77.2,68.0,4770669,18,2025-05-12T16:22:30.572414
Peru,78.1,80.5,80.5,80.6,27880400,27,2025-05-12T16:22:31.211658
Philippines,70.1,73.1,73.1,49.3,57606092,392,2025-05-12T16:22:31.837016
Poland,79.0,82.6,82.6,59.2,22598335,125,2025-05-12T16:22:32.448653
Portugal,82.7,85.4,85.4,66.5,6926293,114,2025-05-12T16:22:33.066717
Puerto Rico,82.1,85.5,85.5,0.0,0,365,2025-05-12T16:22:33.692835
Qatar,82.7,83.6,83.6,96.6,3010901,268,2025-05-12T16:22:34.322463
Romania,76.2,79.8,79.8,55.2,10431178,82,2025-05-12T16:22:36.112680
Russia,73.5,79.3,79.3,75.0,108062384,9,2025-05-12T16:22:36.727636
Rwanda,68.2,70.4,70.4,18.3,2659944,591,2025-05-12T16:22:37.340587
Réunion,83.8,86.6,86.6,0.0,0,353,2025-05-12T16:22:34.994130
Saint Lucia,73.0,76.6,76.6,19.9,35853,295,2025-05-12T16:22:37.955344
Samoa,71.9,74.0,74.0,16.3,35747,77,2025-05-12T16:22:38.565771
Sao Tome & Principe,70.1,74.1,74.1,78.2,187994,250,2025-05-12T16:22:39.198634
Saudi Arabia,79.2,81.5,81.5,92.1,31842626,16,2025-05-12T16:22:39.824716
Senegal,69.2,71.3,71.3,52.3,9903731,98,2025-05-12T16:22:40.471695
Serbia,77.1,80.3,80.3,73.6,4923756,76,2025-05-12T16:22:41.087751
Seychelles,73.1,76.8,76.8,43.8,58120,289,2025-05-12T16:22:41.719622
Sierra Leone,62.1,63.9,63.9,45.5,4017056,122,2025-05-12T16:22:42.613111
Singapore,84.0,86.5,86.5,0.0,0,8387,2025-05-12T16:22:43.221683
Slovakia,78.7,81.8,81.8,54.0,2955290,114,2025-05-12T16:22:43.845804
Slovenia,81.9,84.6,84.6,55.7,1179249,105,2025-05-12T16:22:44.532253
Solomon Islands,70.8,72.3,72.3,22.8,190885,30,2025-05-12T16:22:45.175127
Somalia,59.1,61.7,61.7,46.6,9168559,31,2025-05-12T16:22:45.817381
South Africa,66.5,70.0,70.0,66.6,43112579,53,2025-05-12T16:22:46.471452
South Korea,84.5,87.4,87.4,82.4,42587468,531,2025-05-12T16:22:47.099827
South Sudan,57.9,60.9,60.9,27.7,3378254,20,2025-05-12T16:22:47.711576
Spain,84.0,86.6,86.6,79.3,37995950,96,2025-05-12T16:22:48.325929
Sri Lanka,77.9,80.9,80.9,18.1,4193316,370,2025-05-12T16:22:48.946795
St. Vincent & Grenadines,71.5,74.6,74.6,61.6,61573,256,2025-05-12T16:22:49.566041
State of Palestine,73.1,76.9,76.9,84.2,4707958,929,2025-05-12T16:22:50.195248
Sudan,66.7,70.0,70.0,35.3,18220482,29,2025-05-12T16:22:50.817566
Suriname,73.9,77.1,77.1,62.4,399428,4,2025-05-12T16:22:51.439988
Sweden,83.6,85.3,85.3,87.4,9309134,26,2025-05-12T16:22:52.095602
Switzerland,84.2,86.1,86.1,74.4,6668094,227,2025-05-12T16:22:52.708736
Syria,73.0,75.4,75.4,53.6,13735765,140,2025-05-12T16:22:53.356798
Taiwan,80.9,83.9,83.9,84.0,19421267,653,2025-05-12T16:22:53.972155
Tajikistan,72.1,74.3,74.3,27.7,2987515,77,2025-05-12T16:22:54.584758
Tanzania,67.4,70.2,70.2,40.0,28244987,80,2025-05-12T16:22:55.210271
Thailand,76.8,81.2,81.2,53.5,38343775,140,2025-05-12T16:22:55.835424
Timor-Leste,68.1,69.9,69.9,36.0,510529,95,2025-05-12T16:22:56.490039
Togo,63.1,63.4,63.4,44.2,4295574,179,2025-05-12T16:22:57.125222
Tonga,73.2,76.7,76.7,26.0,26950,144,2025-05-12T16:22:57.740986
Trinidad and Tobago,73.7,77.0,77.0,49.1,741616,295,2025-05-12T16:22:58.372191
Tunisia,76.9,79.5,79.5,71.7,8853818,79,2025-05-12T16:22:58.987529
Turkey,77.8,80.8,80.8,76.9,67446349,114,2025-05-12T16:22:59.629450
Turkmenistan,70.3,73.2,73.2,46.5,3540511,16,2025-05-12T16:23:00.320623
U.S. Virgin Islands,75.9,81.6,81.6,0.0,0,240,2025-05-12T16:23:00.978810
Uganda,68.7,71.6,71.6,30.0,15430672,257,2025-05-12T16:23:01.638141
Ukraine,74.9,79.5,79.5,76.8,29923619,67,2025-05-12T16:23:02.278375
United Arab Emirates,83.2,84.4,84.4,81.1,9207088,136,2025-05-12T16:23:02.901445
United Kingdom,81.6,83.4,83.4,84.5,58798650,287,2025-05-12T16:23:03.523616
United States,79.6,82.1,82.1,82.8,287421363,38,2025-05-12T16:23:04.243316
Uruguay,78.5,82.2,82.2,0.0,0,19,2025-05-12T16:23:04.899941
Uzbekistan,72.7,75.7,75.7,48.1,17835913,87,2025-05-12T16:23:05.525690
Vanuatu,71.8,74.3,74.3,25.4,85244,27,2025-05-12T16:23:06.173230
Venezuela,72.8,76.8,76.8,0.0,0,32,2025-05-12T16:23:06.801921
Vietnam,74.9,79.5,79.5,41.4,42039428,328,2025-05-12T16:23:07.429718
Western Sahara,71.8,74.0,74.0,97.0,583007,2,2025-05-12T16:23:08.083574
Yemen,69.6,71.7,71.7,33.0,13801674,79,2025-05-12T16:23:08.730592
Zambia,66.7,69.1,69.1,46.8,10256668,29,2025-05-12T16:23:09.348783
Zimbabwe,63.3,65.6,65.6,37.9,6429761,44,2025-05-12T16:23:09.969221
